rating,comment,Movie_Title,Movie_URL
9,"Phim hay nha mn, đáng xem nhưng theo cảm nhận của riêng mình thì phần 2 ko hay và ấn tượng bằng phần 1, tuy nhiên so vs các phim kinh dị khác dạo gần đây thì vẫn là ở một cái tầm khác, hay hơn nhiều",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Không còn gì để bàn luôn, hy vọng VN mình sớm sẽ có những bộ phim rạp chất lượng như vậy, ai đi coi phim này về mà chê thì chắc chắn là được thuê để vote 1 sao thôi, nên đi xem, không xem là tiếc lứm đoá",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Phim này hay, nội dung ko lan man giải quyết đúng trọng tâm là con quỷ. Mấy nhân vật đi chung vô rừng báo vl, ko có thì cũng xong nhiệm vụ 😇. 
Anh nam chính đẹp trai còn ngon nữa quá chời đã với ảnh. Mang chất liệu nam chính nên giết mãi k chế và ông thày nvat phụ cũng k chếtThu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"phim làm ra những hình ảnh rất thực không bị ô dề hay bị ảo những tình tiết hấp dẫn, những pha cười cũng banh nóc đấy nhưng mà những cảnh hù luôn ấn tượng với 1 đứa coi phim ma từ lớp 6 tới nay chưa 1 lần bị giật mình nhưng riêng bộ này thì tr oi xuất sắc đáng đồng tiền bỏ ra thật sựThu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
8,"Phần 1 ko ra gì cứ nghĩ phần 2 cũng thế, ai ngờ phần 2 hay hơn, mặc dù hơi ảo nhưng mà dù sao thì vốn dĩ đã ảo từ đầu r 🤣 nói chung là hay, nên xem nha, cái kết cuối cùng cũng đi vào lòng người chứ ko có đi thẳng vào lòng đất như phần 1 nữa, tuyệt vời",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,Phim rất OK và hài hước thêm phần kinh dị tôi cảm thấy bộ phim rất hay mong sẻ có phần 3 và phần bốn nha diễn viên rất hay và rất OK là nha đi xem phim mà không dám về ngủ luôn Á trời mà xem hay thật tôi sẽ cổ vực cho nhiều người khác đến xem phim này hay lắm rất là hay nha mong sẽ có nhiều phần nữa nèThu gọn,Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Tee yod soán ngôi đạo diễn viết kịch bản logic fim kinh dị hay nhất thái lan kkkk. Coi phim kinh dị thôi chưa đủ, khung cảnh & logic phải đạt nha. Bộ phim này xứng đáng 10/10 điểm. Từ diễn viên; khung cảnh; độ kịch tính;hài hước; màu sắc đều quá ok. Đó giờ coi fim kdi cũng nhìu riêng fim này tui đánh giá cao. Rất chi là kĩ xảoo. Cảm xuc lúc hai huoc lúc ghê tởm. Xứng đáng bỏ tiền ra xem nha mọi người. 10@@@@ điểmmmmmmmm ❤️❤️Thu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Bộ Phim Quá Là Tuyệt Vời Của Thái Lan trong những tháng gần đây, hồi hộp và giật mình mặc dù mình khó bị giật mình lắm. Hợp logic từ p1 sang p2, xem phần này sẽ rõ việc Tee Yod từ đâu ra và tại sao nó gây đảo lộn mọi thứ,, xuyên suốt bộ phim mình không rời mắt lôi cuốn lắm hong có bị buồn ngủ. Tội ông Puang (hong nhớ tên) nhờ có ổng mà mọi chuyện đc giải quyết chứ ko là dường như hong còn đường thắng, sound effects ta nói mún xuất vía. Nói nhiều quá sợ spoil, mình thấy phim hay và sẽ giới thiệu cho mọi người thưởng thứcThu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
9,"Phim hay rất đáng xem từ p1 đến p2 này. Trái p1 kết mở p2 này đúng nghĩa kết thúc đẹp cho cả  gđ n9. Ma thật sự ko đáng sợ, cảnh hù có nhưng vs mình chưa đủ đô, vẫn như thể loại ma Thái khác yếu tố hài nhiều.Mạch phim liền mạch mảng miếng  tốt. Mn nên ra rạp để cảm nhận .Thu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
9,"Nếu phần 1 ở mức 7.0-7.5 thì phần 2 có thể đạt 8.5-9.0 xét về tiêu chí kinh dị.
Về phần cốt truyện dễ hiểu, dễ xem, k có những plot twist quá căng, mình nghĩ do nhịp phim nhanh là đủ dồn dập người xem rồi nên cũng k cần thiết lắm.
Diễn xuất khá ổn, IQ và EQ phù hợp với một bộ phim kinh dị.
Phim pha lẫn xíu nét hài của phim Thái, tuy nhiên nhiều đoạn hài chen vào k hợp tình huống lắm, khá kiên cưỡng.
Tóm lại đáng bỏ tiền đi xem.Thu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Đỉnk nha lâu r mới xem bộ phim kinh dị ma ám mà thấy giật mình và khá rùng rợn như phim này. P1 đỉnk thì p2 mình thấy đỉnk hơn. Phim mạch nhanh k bị lòng vòng nhiều, có cái là phim có lúc hơi bị tối quá thôi còn đâu nội dung diễn xuất cốt phim đều ổn áp. Mọi ng phải xem p1 trc khi xem p2 nha nthe mới hiểu đc !!! Lâu r mới có phim khiến mình cho full điểmThu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
8,"Phần 1 hù doạ và mảng miếng hài nhiều hơn, phần này hài ít. bà nào thích 6 múi thì đi coi nha, giải trí ổn, hù doạ ổn, phần này ít hài hoen đợt trước, nma cảnh n9 sống lại hơi ảo ma ca na đa. Màu phim vẫn tối như phần 1. Thiếu điều lấy đèn pin rọi phim thôi :))
Con quỷ phần này biết nói với biết hù, phần 1 chỉ biết hù mà thôiThu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"phim hay nha trời , phần 1 hay rồi phần 2 cũng hay nữa, coi nhiều phim ma rồi mà vẫn bị hù giựt mình pặc pặc, mà kh thích là gần hết phim lotte đà nẵng tắt điều hoà, nv không đóng cửa khi phim chiếu , ngồi nóng quá trời, chắc do coi suất cuối và vắng nên bị đối xử v hả 😢Thu gọn",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,Phần 1 đã hay rồi phần 2 còn hay hơn nửa. Xứng đáng 10₫ không có nhưng,Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Hay nha mọi người ơiii , nên xem ạ",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Phim vui nha, khúc cuối cười hề luôn. Phim kịch bản hay, có đan xe tình cảm gia đình và diễn viên đẹp",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
9,Sau khi đi ăn Bingsu cùng người ấy thì ngẫu hứng qua xem phim. Phim cốt truyện ổn nội dung tiết tấu nhanh có nhiều yếu tố gây sợ,Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,"Bị hù hơi nhiều nhaaa, phim hay. Mà tui chưa coi phần 1 nên là kh bt đánh giá sao. Phần 2 đỉnh đỉnh của chóp. Nhất là đoạn đấm con ma",Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
10,Ta nói hả 100000 điểm hay điên làm phát nào chấn động phát đó,Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review
